ds,y
2017-04-01,25289
2017-05-01,21982
2017-06-01,21521
2017-07-01,20985
2017-08-01,18971
2017-09-01,24254
2017-10-01,26106
2017-11-01,26175
2017-12-01,27697
2018-01-01,25169
2018-02-01,27507
2018-03-01,26994
2018-04-01,26004
2018-05-01,24094
2018-06-01,23379
2018-07-01,27166
2018-08-01,26881
2018-09-01,26566
2018-10-01,35730
2018-11-01,33067
2018-12-01,29612
2019-01-01,27861
2019-02-01,30532
2019-03-01,31794
2019-04-01,32048
2019-05-01,29160
2019-06-01,29725
2019-07-01,34866
2019-08-01,27973
2019-09-01,34227
2019-10-01,33696
2019-11-01,31695
2019-12-01,32027
2020-01-01,34400
2020-02-01,36972
2020-03-01,37435
2020-04-01,30062
2020-05-01,17667
2020-06-01,26328
2020-07-01,31226
2020-08-01,26671
2020-09-01,36601
2020-10-01,35445
2020-11-01,38809
2020-12-01,38637
2021-01-01,38324
2021-02-01,38556
2021-03-01,38070
2021-04-01,38437
2021-05-01,24944
2021-06-01,38281
2021-07-01,42767
2021-08-01,30819
2021-09-01,32953
2021-10-01,30254
2021-11-01,42235
2021-12-01,32723
2022-01-01,28272
2022-02-01,32894
2022-03-01,41805
2022-04-01,40180
2022-05-01,33511
2022-06-01,36448
2022-07-01,34549
2022-08-01,30381
2022-09-01,43036
